@relation landmine26

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute class {no,yes}

@data
1.3385148e+00,5.0942776e-01,3.0711510e+00,2.8936271e+00,4.3653661e+00,-6.7125654e-01,4.8703340e+00,4.0956271e+00,3.3448287e+00,yes
9.2842098e-01,6.2943779e-01,5.3227661e+00,5.9189371e+00,4.0970241e+00,-5.9981989e-01,6.2781712e+00,7.0743700e+00,7.3410107e+00,yes
7.8749471e-01,6.1705560e-01,5.1871557e+00,5.9498271e+00,-2.9507713e+00,-6.6837170e-01,7.4310295e+00,8.1102869e+00,8.4922575e+00,yes
8.9800215e-01,2.8807791e-01,4.6837341e+00,5.0840039e+00,2.1631219e+00,-6.9468249e-01,3.6988104e+00,3.9362491e+00,3.9291765e+00,yes
3.0773624e-01,8.8861861e-02,2.9476692e+00,2.7311006e+00,1.8156600e+00,-5.6254850e-01,2.7368381e+00,2.4916555e+00,2.1048008e+00,yes
1.2923295e+00,2.2313558e-01,2.2962262e+00,1.9157274e+00,3.0687726e+00,-6.1245021e-01,2.5943440e+00,2.1024952e+00,1.4217202e+00,yes
2.4583042e-01,4.9247592e-03,5.5498379e-01,2.3683597e-01,2.8548140e+00,-4.0391425e-01,1.1676916e+00,7.0152468e-01,4.7665303e-01,no
-6.2120407e-01,-6.4267939e-02,7.4250517e-01,3.1145171e-01,1.8549697e+00,6.7900770e-02,1.2903709e+00,8.5317233e-01,3.9479165e-01,no
-5.0743785e-01,-6.0088360e-02,6.7455492e-01,2.0165562e-01,1.3647699e+00,-1.5984045e-01,1.2934848e+00,7.0380860e-01,2.7717402e-01,no
4.2528695e-01,8.6105850e-03,-5.6673118e-01,-5.9749772e-01,1.2820208e-01,7.6223181e-01,1.1470470e+00,1.7260666e-01,-1.9491732e-01,no
-8.7687066e-01,-7.0919592e-02,1.6899830e+00,1.0985478e+00,1.9168743e+00,-6.4378723e-01,1.8993947e+00,1.3909269e+00,8.2873270e-01,no
3.1845936e-01,1.9842541e-02,1.4762260e+00,1.1704926e+00,8.2492453e-01,-5.0307508e-01,1.0113688e+00,9.0579415e-01,7.0623617e-01,no
1.2459532e+00,7.0286091e-02,-7.9155345e-02,-2.5010138e-01,9.5313110e-01,2.4556053e+00,8.5860088e-01,2.7308265e-01,-5.1825781e-02,no
-2.2154410e-01,-4.5643243e-02,9.9865457e-01,8.7750979e-01,9.4233148e-01,-4.4260988e-01,1.0178855e+00,7.9298443e-01,6.4494498e-01,no
1.5212095e+00,9.4731286e-02,-3.1187775e-01,-3.1542493e-01,6.3448633e-01,-3.4819585e-01,7.2874920e-01,1.9799542e-01,3.3375340e-02,no
-6.8822513e-01,-8.0553659e-02,8.2224912e-01,4.1498287e-01,7.3918055e-01,-5.1991215e-01,1.0787567e+00,5.7684270e-01,2.6535281e-01,no
1.8453622e-01,5.4636194e-02,3.9047799e+00,4.5764577e+00,1.5605342e+00,3.5025387e+00,1.4773250e+00,1.8324139e+00,2.1663135e+00,yes
-4.5216048e-01,-6.7510644e-02,3.7752676e-01,1.7371795e-02,7.5868274e-01,-3.7218522e-01,2.3230606e-01,8.5177335e-03,-1.0281132e-01,no
