@relation landmine09

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute class {no,yes}

@data
6.6655270e+00,2.3708668e+01,7.1612813e+00,8.8753310e+00,1.0155619e+01,-5.6675960e-01,1.9131352e+01,2.0633803e+01,2.0699075e+01,no
1.1244508e+00,3.2898228e+00,7.1508177e+00,8.7573268e+00,9.0065193e+00,1.1752653e-01,1.6027672e+01,1.7556237e+01,1.7998825e+01,no
-1.6284082e-01,1.7891855e-01,5.0277790e+00,5.5370228e+00,3.0119708e+00,-5.8585258e-01,3.6670726e+00,3.7755912e+00,3.5004791e+00,no
-2.0212800e-01,1.1315332e-01,5.3135607e+00,6.2548289e+00,1.9558441e+00,7.5972599e+00,2.6337661e+00,2.8872237e+00,3.1102150e+00,no
5.0960380e-01,3.2027506e-01,4.0913511e+00,4.4004413e+00,3.7442006e+00,-5.7206271e-01,3.6570678e+00,3.1622734e+00,3.0321506e+00,no
-8.0851090e-01,-5.3291704e-02,3.7757049e+00,4.0989107e+00,1.2886809e+00,-4.6419197e-01,1.7549234e+00,1.9149373e+00,1.8324563e+00,no
1.2689434e+00,7.9579365e-01,3.3524956e+00,3.1952489e+00,2.3036987e+00,-3.9487254e-01,2.6067706e+00,2.8510387e+00,3.0871333e+00,no
-9.0873970e-01,-8.9036825e-02,2.7726901e+00,2.9923648e+00,1.1137242e+00,6.4411309e-02,1.5710347e+00,1.3609025e+00,1.2108488e+00,no
-1.0185791e+00,-1.0360466e-01,2.9814369e+00,2.9126306e+00,2.5188363e+00,-2.4804450e-01,1.8121606e+00,1.4227911e+00,1.1663728e+00,no
-8.8058485e-01,-6.6764038e-02,2.5961848e+00,2.2353982e+00,2.7260374e+00,-3.8577225e-01,2.1172911e+00,1.5565310e+00,1.1438841e+00,no
-1.3727280e-01,1.4361276e-02,3.3719493e+00,3.6864573e+00,1.6516594e+00,-6.0962625e-02,1.2595345e+00,1.3336644e+00,1.4747927e+00,no
-4.1451155e-01,-5.1317673e-02,2.7742444e+00,2.9493723e+00,4.6966953e-01,3.2310982e+00,6.7322192e-01,9.5474420e-01,1.1066521e+00,no
-1.0930471e-01,2.7470538e-02,2.6812915e+00,2.6805896e+00,2.2166346e+00,-2.7074579e-01,1.6678481e+00,1.4924046e+00,1.3255875e+00,no
-1.4366444e+00,-1.4751801e-01,2.7866385e+00,2.8095003e+00,1.3140092e+00,-4.6830800e-01,1.2289660e+00,1.0921381e+00,9.5787493e-01,no
