@relation landmine07

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute class {no,yes}

@data
5.4543064e+00,2.6020219e+01,6.5043193e+00,7.8297587e+00,9.4046225e+00,3.8043799e+01,1.7651016e+01,2.0197844e+01,2.2139918e+01,no
1.8628896e+00,5.5079310e+00,6.2108593e+00,7.4334033e+00,8.2636156e+00,7.4384512e-01,1.3474095e+01,1.4003416e+01,1.3280435e+01,no
2.7146837e+00,7.1167905e+00,6.6347799e+00,8.1517656e+00,7.6826171e+00,-8.8424889e-02,1.1806702e+01,1.2483010e+01,1.2531849e+01,no
-3.5045172e-01,1.9726535e-01,5.3725521e+00,6.4833251e+00,2.7272176e+00,-3.1578435e-02,2.7874422e+00,2.8789492e+00,2.9588711e+00,no
2.6782000e-01,4.5284970e-01,3.3995617e+00,3.2942631e+00,3.4124564e+00,-2.9715156e-01,3.1622197e+00,2.8160849e+00,2.4141076e+00,no
8.0434779e-01,6.5479182e-01,2.9852447e+00,2.8419030e+00,3.4583672e+00,-3.0809548e-01,3.1897452e+00,2.5121476e+00,1.9962913e+00,no
-2.9674659e-01,7.4206292e-02,2.2927211e+00,2.0933731e+00,2.5305971e+00,-9.3404543e-02,1.9122395e+00,1.5894187e+00,1.3804035e+00,no
-4.2105855e-01,3.3946795e-02,3.5196857e+00,3.7788747e+00,2.3111759e+00,-3.2027858e-01,1.9030163e+00,1.6828318e+00,1.5549464e+00,no
-9.0439704e-01,-9.0263360e-02,2.9086161e+00,2.7421324e+00,2.4344372e+00,-3.0362098e-01,1.7975084e+00,1.5556003e+00,1.2355598e+00,no
-4.3840096e-01,2.8823052e-02,3.0168875e+00,2.8247667e+00,1.9450647e+00,-2.3221642e-01,1.8507327e+00,1.6733103e+00,1.3241700e+00,no
-5.5176508e-01,1.8040503e-02,2.9671744e+00,2.7751240e+00,2.2076818e+00,-3.2046982e-01,1.9407524e+00,1.7659119e+00,1.5000991e+00,no
