@relation landmine06

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute class {no,yes}

@data
5.6343120e+00,2.6281028e+01,6.4823513e+00,7.7229906e+00,1.0135818e+01,1.4187716e+01,1.7187633e+01,1.8303600e+01,1.8425495e+01,no
5.0584349e+00,2.2172139e+01,6.4602475e+00,7.6361142e+00,9.1077820e+00,3.5822231e+01,1.5725402e+01,1.7460192e+01,1.8841115e+01,no
2.9259560e+00,8.1804617e+00,5.8685461e+00,6.5532774e+00,7.9654448e+00,4.1802951e-01,1.2150655e+01,1.2662298e+01,1.2367272e+01,no
-3.9728319e-02,5.5987251e-01,5.0644248e+00,5.2157676e+00,4.2043162e+00,-2.6212679e-01,4.7170212e+00,4.7964689e+00,4.5690280e+00,no
-1.2116244e+00,-3.8705171e-02,5.1947721e+00,5.9675687e+00,2.3418321e+00,3.2105452e-02,2.5216527e+00,2.8411810e+00,3.0638191e+00,no
6.1155517e-02,5.7220499e-01,2.9181698e+00,2.2103894e+00,3.7963595e+00,-3.4256337e-01,4.2035239e+00,3.6014678e+00,2.8931684e+00,no
-1.3297046e+00,-1.2338333e-01,4.1920623e+00,4.3458631e+00,2.3320380e+00,3.6782884e-01,2.2574962e+00,2.2050250e+00,2.1060088e+00,yes
-8.5486955e-01,2.5645100e-02,4.7548816e+00,5.1929322e+00,2.3474536e+00,-2.1088878e-01,2.6724080e+00,2.6610592e+00,2.6542765e+00,no
-1.4644176e+00,-1.5319335e-01,4.1046136e+00,4.2846786e+00,2.3209499e+00,-4.0100554e-01,2.1303540e+00,2.0402884e+00,1.8787556e+00,yes
-8.1773711e-01,-5.3311610e-02,3.7226640e+00,3.8956161e+00,1.8346659e+00,5.8594480e-02,1.7109342e+00,1.6250089e+00,1.4801694e+00,no
-6.1146679e-01,-2.1795673e-02,3.5712339e+00,3.7341346e+00,1.4238986e+00,-1.3179175e-01,1.0606264e+00,1.3532227e+00,1.4721405e+00,no
-1.0177861e+00,-1.1977525e-01,2.6207190e+00,2.2757282e+00,2.5495246e+00,5.8123241e-01,1.6755752e+00,1.2304869e+00,8.3780680e-01,no
