@relation landmine05

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute class {no,yes}

@data
5.6044352e+00,3.6116150e+01,7.3942321e+00,8.9137661e+00,1.1066515e+01,1.5206206e+01,1.9257061e+01,2.1218977e+01,2.2284273e+01,no
1.1048464e+00,5.0626727e+00,7.0297904e+00,8.2885093e+00,9.0298882e+00,3.3991286e-02,1.3994699e+01,1.4286317e+01,1.3603567e+01,no
2.6957549e+00,9.7909028e+00,7.2078114e+00,8.7564442e+00,9.0953012e+00,7.2380230e+00,1.3661438e+01,1.4084698e+01,1.3683878e+01,no
-5.8137343e-01,2.5576162e-01,4.8659176e+00,5.0887643e+00,3.5171832e+00,-1.3625312e-01,3.9503765e+00,3.7029365e+00,3.5490346e+00,no
6.2931569e-02,3.9552880e-01,4.0911053e+00,4.2654265e+00,1.9956496e+00,-2.9117474e-01,2.1145711e+00,2.1174772e+00,2.0935667e+00,no
-4.5012373e-01,9.4031944e-02,3.3166500e+00,3.0681383e+00,2.5280552e+00,-2.7006448e-01,2.3184235e+00,1.9726634e+00,1.6623653e+00,no
-7.2319450e-01,5.6726238e-02,3.2210747e+00,2.9042054e+00,3.6055391e+00,2.8116354e-01,2.9929405e+00,2.3658352e+00,1.9401787e+00,no
-6.6091818e-01,-3.7285645e-03,3.7875474e+00,3.7359842e+00,1.7642885e+00,-2.8728108e-01,1.7915886e+00,1.6953460e+00,1.5583126e+00,no
-4.7195275e-01,5.5383223e-02,3.3770424e+00,3.2702536e+00,1.7654155e+00,-1.3412061e-01,1.6658368e+00,1.6044435e+00,1.4128820e+00,no
-1.6028590e-01,1.6051463e-01,3.6775705e+00,3.8475855e+00,1.8643118e+00,8.9537721e-02,1.6003196e+00,1.6026158e+00,1.5016704e+00,no
-1.4777623e+00,-1.7224609e-01,3.3176246e+00,3.0666596e+00,-2.2584223e+00,-2.8501756e-01,1.5753002e+00,1.3473287e+00,1.1334359e+00,no
-5.9630418e-01,-1.4121638e-02,3.0385272e+00,3.0436195e+00,2.2905682e+00,-8.8575445e-02,1.2729156e+00,1.1672572e+00,1.1431153e+00,no
-3.3839424e-01,1.0833792e-01,3.2123283e+00,2.8863524e+00,1.6533057e+00,-5.2058597e-02,1.7799376e+00,1.4225687e+00,1.2305226e+00,no
-1.1959355e+00,-1.5701435e-01,3.4727342e+00,3.5839390e+00,1.6510817e+00,-1.8224902e-01,8.3343702e-01,9.0168682e-01,9.5168033e-01,no
-1.5699779e-01,1.4723695e-01,2.5640068e+00,2.2073260e+00,2.3234971e+00,-2.6414842e-01,1.6525126e+00,1.2621056e+00,1.0910161e+00,no
-7.9864148e-01,-9.3503212e-02,2.6456851e+00,2.6853595e+00,1.3694831e+00,-9.1681664e-02,1.0664954e+00,9.1758410e-01,8.5752156e-01,no
