@relation landmine25

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute class {no,yes}

@data
1.0241656e+00,3.9730957e+00,4.8899749e+00,5.3275246e+00,5.0983316e+00,3.5613883e-01,7.1759640e+00,7.4663762e+00,7.4570189e+00,yes
8.4540293e-01,1.2271854e+00,2.9732186e+00,2.7427463e+00,3.3620757e+00,2.0826897e+00,3.4177938e+00,2.8405471e+00,2.4149938e+00,yes
5.1263773e-01,8.9212369e-01,4.0808087e+00,4.2076531e+00,3.8772074e+00,8.8378393e-01,3.5128324e+00,3.2818845e+00,3.0694834e+00,yes
2.1313290e+00,4.0021171e+00,4.6001536e+00,4.9787526e+00,3.7734387e+00,-4.7719792e-01,3.5618011e+00,3.4349985e+00,3.2525495e+00,yes
1.1639065e+00,4.3504935e-01,1.0747038e+00,4.9824436e-01,3.2316234e+00,4.1611652e+00,1.1081751e+00,5.6405566e-01,2.6471122e-01,no
-1.1483849e-01,-9.7387695e-03,2.0264800e+00,1.5240579e+00,1.4672045e+00,3.7459591e-01,1.4937206e+00,1.1455193e+00,7.6523859e-01,yes
-3.5184374e-01,-9.1180375e-02,2.3814642e+00,1.8428255e+00,2.6969846e+00,-4.4554607e-01,1.0895268e+00,6.7659912e-01,5.4307371e-01,no
2.9096167e-02,1.1161377e-01,4.4038087e+00,5.1069129e+00,1.9070762e+00,-2.7128882e-02,1.5600526e+00,1.4992460e+00,1.5041014e+00,yes
-1.8886877e-01,-2.6801464e-02,3.6459350e+00,3.9236519e+00,1.5618797e+00,-1.8442997e-01,1.3440863e+00,1.2536579e+00,1.1916993e+00,yes
3.0860256e+00,1.8985036e+00,2.3658725e+00,1.9964283e+00,1.9228701e+00,7.2270971e-01,1.0803570e+00,8.8437747e-01,6.8260816e-01,yes
-3.2232340e-01,-1.4802783e-01,1.1593666e+00,8.2772942e-01,1.4715111e+00,-4.8600191e-01,5.6494032e-01,4.1817204e-01,3.5849696e-01,no
-2.9096095e-01,-1.7196993e-01,6.3970466e-01,2.3780961e-01,1.6772391e+00,-1.3025871e-01,4.3567810e-01,1.6355857e-01,5.8664469e-02,yes
-6.3549704e-01,-1.8187331e-01,1.9186295e+00,1.5081345e+00,1.6651746e+00,-4.2881280e-01,8.0054781e-01,6.7363220e-01,5.9661999e-01,no
9.0089426e-01,4.2909778e-01,6.2983147e-01,1.2533975e-01,2.1354630e+00,1.3133193e-01,6.8264592e-01,2.5431844e-01,1.4207922e-01,no
-3.2819844e-01,-7.0929637e-02,2.6994200e+00,2.3333863e+00,1.6857947e+00,1.0982037e+00,1.0377909e+00,9.7073761e-01,9.4717579e-01,no
-8.1589944e-01,-2.4663716e-01,2.6272418e+00,2.7985915e+00,9.9273300e-01,-5.0876677e-01,6.5660261e-01,6.1505483e-01,5.8125789e-01,no
-7.3044814e-01,-2.3180345e-01,3.8856834e-01,-6.5603134e-02,7.2783891e-01,2.1089489e-01,3.8173010e-01,1.9639978e-01,3.9181801e-02,no
-4.9475780e-01,-1.5142777e-01,3.9092472e+00,4.3887152e+00,1.6604364e+00,-1.4275722e-01,1.0321286e+00,9.8505587e-01,1.0063538e+00,no
-5.3535539e-01,-1.7245095e-01,5.9404675e-01,9.4061153e-02,2.0934459e+00,-4.9961813e-01,7.0551084e-01,3.8528341e-01,2.3071346e-01,no
1.6115780e+00,5.6343977e-01,1.0525481e+00,6.7091225e-01,1.1102149e+00,-5.0874568e-01,4.4529558e-01,2.8264543e-01,1.7559810e-01,no
-3.5527448e-01,-2.1084488e-01,-3.1667483e-01,-3.7515826e-01,-5.0360712e-01,4.7726772e-01,-1.8891075e-01,-1.9485450e-01,-1.9242297e-01,no
1.5752122e+00,4.4262133e-01,5.3670527e-01,1.4984344e-01,1.1439787e+00,-4.3493715e-01,4.8064026e-01,1.3686699e-01,1.8031232e-02,no
-3.5240228e-01,-1.8068986e-01,2.1661325e+00,2.0849125e+00,1.0713091e+00,8.4043921e-02,4.5159171e-01,4.2712435e-01,4.1445196e-01,no
-2.2534558e-01,-1.9588620e-01,1.3952456e+00,1.3888157e+00,-9.3824861e-01,-4.8871722e-01,4.5933336e-02,8.2711081e-02,1.0587047e-01,no
1.0311383e+00,2.6876307e-01,3.7806768e-02,-1.5994121e-01,1.1682202e+00,3.3980115e-01,4.2050995e-01,1.5089117e-01,2.1993329e-02,no
1.1529098e+00,2.3391849e-01,8.0219214e-03,-2.0181739e-01,3.5425553e-01,-2.3558368e-01,2.1084626e-01,2.3174105e-02,-5.9551429e-02,no
4.8495993e-01,5.4449951e-02,2.3419282e-02,-2.5133759e-01,1.5508331e-01,4.4398060e-01,1.9198842e-01,-2.0685435e-02,-1.0108779e-01,no
-5.4724052e-01,-2.4943491e-01,-4.8086351e-01,-3.9206727e-01,-8.3674022e-01,-3.6178664e-01,-1.1197045e-01,-1.7215409e-01,-1.9647540e-01,no
2.5206193e+00,8.3887723e-01,1.5119875e-01,-5.6681176e-02,1.5069435e+00,-3.8230441e-01,3.1071056e-01,3.3064594e-02,-3.0471339e-02,no
1.7658200e+00,4.2770549e-01,-1.4220471e-01,-3.1526317e-01,6.9458510e-01,-3.1430002e-02,-2.9318075e-02,-1.2327529e-01,-1.3550718e-01,no
-5.6724495e-02,-1.7783731e-01,-2.8717731e-01,-3.4224560e-01,1.3130490e+00,-3.3774598e-01,4.9158864e-02,-1.0918480e-01,-1.8846527e-01,no
-5.2750047e-02,-1.2412723e-01,8.7678679e-01,5.5066591e-01,1.0971953e+00,-3.6671626e-01,3.6902396e-01,2.2665285e-01,1.7090137e-01,no
-6.0746974e-01,-2.5561597e-01,-4.5118460e-01,-4.0726485e-01,-1.2584576e+00,-1.7900997e-01,-3.0584868e-01,-2.4702572e-01,-2.2780573e-01,no
-1.3634180e-01,-1.2507449e-01,7.8215995e-01,4.6559552e-01,1.3773989e+00,-3.5676647e-01,1.8381739e-01,1.6817144e-01,1.8883286e-01,no
6.5555657e-01,-3.3543561e-02,6.9151711e-03,-1.6123902e-01,-3.0271565e-01,-3.6710866e-01,2.1055101e-01,1.9765181e-02,-1.1637486e-01,yes
1.8991347e+00,5.8614850e-01,1.6571233e+00,1.5313717e+00,-6.9300238e-01,3.6536961e-01,3.3426873e-01,3.1330407e-01,2.6912998e-01,no
-6.1319192e-01,-2.3206709e-01,5.4668314e-01,1.5678619e-01,4.8780796e-01,-9.9154818e-02,1.6108650e-01,2.7796723e-02,-2.9193172e-02,yes
-4.4196126e-01,-2.4985375e-01,-6.0876240e-01,-4.2977202e-01,-8.2897888e-01,-4.9366382e-01,-3.5764852e-01,-2.8088584e-01,-2.4886786e-01,no
-7.1813389e-01,-2.3290354e-01,4.5542943e-01,4.0888180e-02,9.1158199e-01,-4.1856206e-01,1.5186771e-01,5.3244445e-02,1.4685288e-02,no
2.9686205e-01,-4.7259148e-02,1.3019260e-01,-1.5474007e-01,9.3068839e-01,-4.3111029e-01,3.9549100e-01,6.9132432e-02,-7.5912121e-02,no
-6.2076278e-01,-2.2314466e-01,2.5704439e+00,2.7128456e+00,3.7697623e-01,-5.0825568e-01,3.5075219e-01,3.8234485e-01,4.2654246e-01,no
-5.3811385e-01,-2.2003532e-01,1.3692916e+00,1.1824119e+00,5.2046261e-01,-3.3642354e-01,3.3632254e-01,2.8954098e-01,2.2777323e-01,no
1.1187261e-01,-6.1295465e-02,9.5359026e-01,6.6394441e-01,3.9700728e-01,-5.0894771e-01,2.4533330e-01,2.2641994e-01,2.0087650e-01,no
